Initial,Common_name,Binomial,URL
zc,Cuvier's beaked whale,Ziphius cavirostris,
pm,Sperm whale,Physeter macrocephalus,
md,Blainville's beaked whale,Mesoplodon densirostris,
gm,Short-finned pilot whale,Globicephala macrorhynchus,
ml,Southern elephant seal,Mirounga leonina,
pv,Harbour or common seal,Phoca vitulina,
hs,Harbour or common seal,Phoca vitulina,
lw,Weddell seal,Leptonychotes weddellii,
pp,Harbour porpoise,Phocoena phocoena,
hp,Harbour porpoise,Phocoena phocoena,
dl,Beluga,Delphinapterus leucas,
pa,Adelie penguin,Pygoscelis adeliae,
bm,Bowhead whale,Balaena mysticetus,
bm,Blue whale,Balaenoptera musculus,
mn,Humpback whale,Megaptera novaeangliae,
eg,North atlantic right whale,Eubalaena glacialis,
rw,North atlantic right whale,Eubalaena glacialis,
mb,Sowerby's beaked whale,Mesoplodon bidens,
bb,Bryde's whale,Balaenoptera brydei,
gm,Long-finned pilot whale,Globicephala melas,
pw,Long-finned pilot whale,Globicephala melas,
bp,Fin whale,Balaenoptera physalus,
